"probe_id","mgi_symbol","GSM5429757","GSM5429758","GSM5429759","GSM5429760","GSM5429761","GSM5429762","GSM5429763","GSM5429764","GSM5429765","GSM5429766","GSM5429767","GSM5429768"
"10338564",NA,3.773041,3.521356,3.556309,3.069448,3.139209,3.309596,3.418596,3.659943,3.803462,3.516498,3.544846,3.834954
"10338565",NA,7.250535,7.358112,7.452832,7.261248,7.4963,7.519922,6.966832,7.78395,6.818546,7.494962,7.250185,7.270812
"10338566",NA,7.503375,7.265872,6.737917,6.885687,6.778308,7.517877,7.048344,6.96658,7.118275,7.207438,7.497282,7.398683
"10338567",NA,8.857425,8.616947,8.636866,8.314311,8.684027,8.582303,8.688153,8.192272,7.96887,8.291655,8.097495,8.187172
"10338568",NA,5.198183,5.126914,4.995655,4.620754,5.217895,4.938081,4.774839,4.889873,4.90618,4.586499,4.524176,4.82823
"10338569",NA,3.668997,4.081133,4.344153,4.393307,5.870438,4.043375,4.697017,4.269615,3.939353,4.17669,3.809481,4.210792
"10338570",NA,4.895893,5.307066,4.190772,5.368884,5.496552,5.972418,5.196992,6.56873,5.818852,5.929896,5.408192,5.871102
"10338571",NA,7.102912,7.431519,8.203399,7.963367,7.149626,7.963962,7.863208,7.542904,7.533636,6.976843,6.721671,6.849179
"10338572",NA,3.477274,4.395905,4.248649,3.956975,4.026835,3.692799,3.950911,4.031851,4.028593,3.940603,3.755723,4.056418
"10338573",NA,5.384098,4.887161,5.081576,4.954919,5.971169,4.632624,5.293811,4.214137,5.359888,5.334754,4.838405,5.098578
"10338574",NA,5.749095,6.649639,5.923593,6.432058,6.569969,5.814651,5.71315,6.59032,5.541304,6.018661,6.091959,5.74344
"10338575",NA,4.26581,3.71332,4.096296,3.848289,4.024985,3.829756,4.169212,3.8833,4.237966,3.684227,4.04264,4.11709
"10338576",NA,6.119548,5.17151,6.87309,7.006295,6.371304,6.612864,5.762406,6.385318,6.759965,6.651485,5.990196,5.938164
"10338577",NA,4.095154,4.441225,4.38269,4.536093,4.591249,4.424145,5.072664,4.916366,4.636171,4.350827,4.766995,4.946457
"10338578",NA,9.825106,9.887156,9.57434,9.543265,10.0131,9.595122,9.827458,9.398173,9.442076,9.443499,9.457454,9.754985
"10338579",NA,5.325837,4.676324,4.614737,4.296749,3.780718,4.002029,3.829673,4.139668,3.87782,4.956456,3.819907,4.517748
"10338580",NA,5.468452,5.782982,6.451496,6.099218,5.434052,6.309715,6.280024,6.965224,5.349895,6.479782,6.059219,6.568367
"10338581",NA,6.462562,6.289555,6.087021,4.736904,5.935344,6.227911,5.997265,6.031267,5.807848,6.134432,5.369253,5.941627
"10338582",NA,4.459826,5.040959,3.690366,3.502351,5.547626,3.752937,3.970058,4.138556,4.107698,4.661805,4.018644,4.584214
"10338583",NA,3.071886,3.239208,3.30839,3.232573,3.114417,3.440918,3.636828,3.206459,3.171546,3.201667,3.073037,3.069624
"10338584",NA,5.367388,4.491561,4.860398,5.115185,5.3981,5.44184,4.423641,4.899737,5.494667,4.993837,5.31108,5.391629
"10338585",NA,12.71315,12.74209,12.80944,12.68411,12.86301,12.77332,12.80296,12.64867,12.5738,12.63298,12.72897,12.69178
"10338586",NA,4.192763,4.852403,5.306421,4.485824,4.035559,5.396434,4.699386,4.736861,4.201802,5.015988,4.645363,4.686754
"10338587",NA,6.441518,6.499201,6.813451,7.611354,7.336536,5.956807,7.18523,7.18969,7.307647,7.469345,6.587339,6.851931
"10338588",NA,5.963489,6.006763,6.307635,6.307508,7.003605,6.889466,6.423759,5.97451,6.643868,6.583552,6.848941,6.58497
"10338589",NA,4.620583,3.858168,4.367571,4.340495,3.964244,3.903775,4.611213,4.26923,4.012476,4.595744,4.167291,4.677797
"10338590",NA,5.813491,6.253289,5.533319,5.173925,5.890935,5.776677,6.716025,7.020675,7.94034,6.845557,6.369098,6.962586
"10338591",NA,4.810406,4.596706,5.500375,5.601715,4.805169,6.13255,5.675576,5.620496,5.991991,5.8454,5.805635,5.484936
"10338592",NA,3.166445,3.30112,3.109085,3.076282,3.31485,3.234761,3.181154,3.138945,3.242948,3.1344,3.167091,2.951312
"10338593",NA,5.238908,5.261104,5.700162,5.651148,4.513754,4.948788,4.693992,5.973938,5.467399,5.757502,5.700358,5.149398
"10338594",NA,5.887975,5.513508,5.556807,6.216407,6.102809,5.729791,6.172204,5.873322,6.619065,6.236088,6.201472,6.542253
"10338595",NA,6.071936,6.199007,6.555411,6.7406,6.637704,6.899461,6.104259,6.082249,6.162099,6.371601,6.797602,6.472249
"10338596",NA,3.702302,3.375585,3.600423,3.340249,3.489387,3.538051,3.545254,3.845413,3.761359,3.244736,3.164902,3.174469
"10338597",NA,3.467189,3.22529,4.02422,3.575167,4.097582,3.965734,3.320863,3.537239,3.637583,4.296747,3.608792,3.428713
"10338598",NA,4.348038,4.194018,3.577957,4.571333,3.898522,4.407431,4.578846,4.518859,4.246171,3.796726,3.846213,4.005136
