"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Prh1",-0.11410071428571,7.99006284615385,-0.846014254131338,0.412515192231668,0.737150307409831,-5.85468167754562
"Ccn6",0.0659845000000017,5.89208238461538,0.845955204555437,0.412546978457556,0.737150307409831,-5.8547305441941
"Dnajb7",-0.186435357142856,4.57699376923077,-0.845647684761024,0.412712541713227,0.737347967103101,-5.85498498382353
"Atxn1l",-0.0635524999999975,7.77228307692308,-0.845608040671157,0.412733888592072,0.737347967103101,-5.85501777903764
"Smad2",-0.124260928571424,8.70198323076923,-0.845556164622458,0.412761823032066,0.737347967103101,-5.85506069095346
"Ccdc121rt3",-0.0727747142857122,6.12750438461538,-0.845335567383936,0.412880625153568,0.737347967103101,-5.85524314291881
"Ift43",-0.0897674285714256,7.85316430769231,-0.845269846223267,0.412916023500362,0.737347967103101,-5.85529749146957
"Gcnt3",-0.0791637380952359,5.98533746153846,-0.845251928252075,0.412925674721216,0.737347967103101,-5.85531230819979
"Oxct2a",-0.488745499999999,6.53617315384615,-0.845233836920474,0.412935419471129,0.737347967103101,-5.85532726800039
"Mir124a-2",-0.0830911904761891,5.90188507692308,-0.845190248951239,0.41295889840383,0.737347967103101,-5.85536330990588
"Arhgef7",-0.0868059047619045,8.69716230769231,-0.845171860454478,0.412968803747531,0.737347967103101,-5.85537851443951
"Psmb1",-0.0735018809523762,9.57354776923077,-0.844990007625713,0.413066770989187,0.737461137355445,-5.85552886358016
"Sun5",-0.336594642857142,5.49539476923077,-0.844874458685964,0.413129027169141,0.737510537911659,-5.85562438011128
"Nfu1",-0.139420476190471,10.8365092307692,-0.844758206353434,0.413191668586407,0.737560617858409,-5.8557204663068
"Gm10532",-0.0644569999999991,5.64369761538462,-0.844610071811345,0.413271498512722,0.737641368903095,-5.85584288702143
"Mief1",-0.0868966428571394,7.362607,-0.844430563808077,0.413368249303993,0.737694193433119,-5.85599120953759
"Mir455",-0.0805174999999965,6.89207107692308,-0.844365355642768,0.413403398749951,0.737694193433119,-5.85604508226885
"Kcnj11",-0.117326095238094,6.35826392307692,-0.844362612068455,0.413404877674253,0.737694193433119,-5.85604734883354
"Cyp4f18",-0.15485121428571,6.96773692307692,-0.844162604245663,0.413512701350278,0.737824855124535,-5.85621256470074
