"","GSM5429739","GSM5429740","GSM5429741","GSM5429742","GSM5429743","GSM5429744","GSM5429745","GSM5429746","GSM5429747","GSM5429748","GSM5429749","GSM5429750","GSM5429751"
"10402750",10.56365,10.6506,10.6283,10.53559,10.39012,10.38927,10.60447,10.73908,11.16127,10.55856,10.94073,10.76369,10.62885
"10402752",9.826807,10.0953,10.05894,10.17834,9.966674,10.34731,10.38569,10.14972,9.978859,10.12609,9.871141,9.97258,10.43677
"10402757",5.106831,5.224912,5.428981,5.212443,5.224912,5.338643,5.312552,5.063088,5.283091,5.070871,5.272568,5.097643,5.190654
"10402761",6.998558,7.375053,6.909328,7.727374,7.306912,8.190641,7.597209,7.534809,7.305854,6.792719,6.739411,7.514946,7.551698
"10402766",9.790926,9.827766,9.78641,9.997271,9.698123,9.824887,9.853378,10.08693,10.16158,9.749363,9.823966,9.93473,10.50458
"10402783",7.230247,7.026443,6.723342,7.556198,6.556675,7.035444,6.825819,7.436108,7.969399,6.864468,8.050523,7.698346,6.853753
"10402787",8.236357,8.157585,7.840707,8.340038,7.601181,8.337648,8.33206,8.523433,8.740517,8.074265,8.896137,8.59551,8.063166
"10402795",8.474395,8.492174,8.400441,8.468214,8.519572,8.64218,8.577822,8.529829,8.570625,8.568485,8.636081,8.474395,8.698886
"10402800",7.119471,7.287696,7.154724,7.309368,7.108644,7.418375,7.434048,7.229994,7.270374,6.860686,6.918513,7.322681,7.992404
"10402808",8.161444,8.010838,7.961337,7.698648,8.144805,7.869297,7.749393,7.863522,7.446799,8.198016,7.599226,7.420245,7.062155
"10402835",8.333629,7.928288,8.662574,8.098704,8.658866,8.003829,8.023809,8.387429,7.625128,9.226316,8.034084,7.74447,8.263536
"10402841",8.104128,7.965392,8.106628,8.1082,8.029297,7.986727,7.999228,8.283904,8.130129,8.292006,8.2446,8.215284,8.489592
"10402864",6.589286,6.652232,6.676842,6.830937,6.367913,6.703045,6.768456,6.367573,7.1334,6.389634,6.372497,6.835284,9.080822
"10402981",5.330413,5.05452,5.319198,5.37604,5.203494,5.281099,5.450775,5.112317,5.43107,5.111916,5.024574,5.296434,6.335649
"10402986",4.907637,4.960877,4.961634,4.987039,4.714413,5.155943,5.235525,4.942925,4.856332,4.667027,4.796553,4.942925,6.521811
"10402988",5.363077,5.663065,5.787601,5.65257,5.437093,5.883167,5.527233,5.47568,5.692171,5.333967,5.686758,5.624519,5.874537
"10402991",7.422073,7.495893,7.73205,7.276712,7.053687,7.400834,7.961143,9.015265,7.638586,7.302378,7.261386,7.519174,9.452123
"10402994",6.375067,6.444916,6.727641,6.396512,6.25748,6.582932,6.42525,6.249297,6.542846,6.281009,6.341141,6.471033,6.650331
"10402997",4.737285,5.122871,4.713407,4.646878,4.637308,4.767253,4.634289,4.58963,5.174575,4.339677,4.129481,4.458398,5.092896
"10403000",3.819356,3.877541,3.901065,3.873039,3.862599,3.874131,3.759259,3.858129,3.981019,3.828453,3.72457,3.860691,4.283771
"10403003",4.58883,4.465536,4.529759,4.54622,4.384045,4.665998,4.81477,4.543977,4.597875,4.547647,4.550207,4.558993,4.350271
"10403006",4.261737,4.414705,4.596689,4.380751,4.426857,4.984963,4.416838,4.503147,4.498472,4.433292,4.417933,4.475869,7.991111
"10403009",4.090653,4.360596,4.228288,4.18451,4.006826,4.424693,4.626942,4.268901,4.797308,4.571623,4.137337,8.79988,6.532837
"10403011",3.816045,3.979032,4.158106,3.935889,3.933682,4.383593,4.11119,4.171411,4.25305,3.996151,4.007526,3.865777,5.36364
"10403013",4.023802,4.138863,4.261459,4.236327,3.889822,4.148266,4.651065,3.85315,4.495466,4.081358,4.294095,4.167138,4.82374
"10403015",6.636736,6.457385,6.836296,6.932631,5.743754,6.708387,6.554321,6.520641,7.187107,7.329568,6.3758,7.181826,9.97811
"10403018",7.258826,7.300421,7.60255,7.768833,6.819935,7.119429,7.477392,7.118711,8.141843,7.657726,7.36328,8.006493,11.06603
"10403021",5.363584,5.573475,5.343572,5.509215,5.07023,7.650263,5.774379,5.404398,6.007493,5.361609,5.299168,5.376943,8.174332
"10403023",4.1832,4.051085,4.247765,4.31553,4.132087,4.557817,4.355935,4.028189,4.583971,4.336502,4.25211,4.222784,6.122461
"10403025",4.565012,4.270545,4.598286,4.249922,3.950647,4.255658,4.640438,3.946953,4.45783,4.004866,4.057729,4.207308,4.71692
"10403028",5.288697,5.008677,5.120712,5.627652,4.951437,5.021143,5.09977,5.390053,7.107087,5.202115,5.156834,5.27937,8.118671
"10403031",4.629002,5.317599,5.075239,5.489163,4.955166,5.432909,5.080389,5.72197,11.47221,5.29148,5.600353,7.230986,8.863846
"10403034",7.001249,6.950423,7.074585,7.203484,6.868686,6.905254,7.1152,6.105106,7.881936,6.209323,6.949148,6.889084,10.28684
"10403036",4.44082,3.678307,3.663347,3.726484,3.743429,3.957408,3.604769,3.739702,3.910115,3.778672,3.744312,3.777374,5.737626
"10403038",4.927429,4.648069,4.635579,5.257472,4.48679,4.574932,4.731399,4.992706,7.516914,4.670556,4.579911,4.907093,7.509355
"10403041",3.861443,3.9033,3.946422,3.824957,4.167547,3.907253,4.031221,3.982766,4.17555,3.860635,3.993448,4.030075,4.212547
"10403043",8.604952,8.226223,8.334421,8.884594,8.004575,8.139544,8.218029,8.356383,9.593149,8.215889,8.043703,8.47264,11.48152
"10403046",5.065385,4.875982,5.033831,4.778032,4.724005,4.856212,5.084247,4.845551,5.378699,4.855997,5.430581,4.600875,5.696467
"10403048",8.754267,8.259246,8.280327,9.046056,7.916242,8.207842,8.365086,8.496273,11.03189,8.265459,8.058146,8.515361,11.34399
"10403052",7.742797,7.848691,7.891775,7.859035,7.817414,7.703359,7.802644,7.440925,6.787614,7.659933,7.291523,7.680607,6.757795
"10403054",7.20026,7.383576,7.304212,7.496585,6.64011,6.993184,7.252739,7.281914,7.911641,7.279771,7.127545,7.696037,10.29558
"10403057",4.252728,4.377158,4.274234,4.309161,4.187093,4.273473,4.441121,4.000022,4.680266,4.162057,4.274234,4.233716,5.022083
"10403060",7.439537,7.078032,7.290872,7.769723,6.896715,7.219567,7.200994,7.285853,9.92885,7.293826,7.218832,7.418519,9.714382
"10403063",6.696285,6.92232,6.895103,7.014983,6.679516,6.51566,6.852032,6.090167,7.443067,6.122182,6.556486,6.736699,9.827834
"10403066",3.506639,3.491807,3.553981,3.779204,3.508448,3.718815,3.77724,3.548188,3.848975,3.916833,3.466401,3.503316,4.641236
"10403069",5.141268,4.441304,4.226559,5.636137,3.9692,4.140418,4.614531,6.355545,6.014268,4.442902,4.105059,5.875009,8.835827
"10403071",8.51547,8.290497,8.593464,8.280842,8.098109,8.371222,8.522606,8.172359,8.133564,8.317569,8.06724,8.673141,8.911652
"10403073",4.040657,4.348234,4.16914,3.95324,4.232867,4.150768,4.128963,4.009513,4.571877,4.243864,3.884423,4.174987,6.817439
"10403076",8.670554,8.621894,8.728012,8.394114,8.680009,8.631916,8.79124,8.330438,8.582882,8.710281,8.518951,8.384108,9.929102
"10403079",6.869568,7.175144,6.823502,7.221855,6.628497,6.810352,6.925595,6.831026,7.511115,6.951717,6.68659,7.062303,9.723193
"10403081",6.901278,6.996005,6.738329,6.754725,7.054383,6.914863,6.980124,7.008996,7.356243,6.863046,7.197136,7.070855,6.500206
"10403108",10.75147,10.85198,10.74625,10.82421,10.78192,10.92202,10.98708,10.60245,10.74865,10.75803,10.71351,10.42523,9.899228
"10403110",5.386451,5.343974,5.343974,5.318354,5.226272,5.343974,5.415489,5.338834,5.428668,5.163889,5.224368,5.224368,5.472373
"10403112",5.801904,5.79397,6.749507,6.248507,6.571702,6.467326,5.999409,6.795646,6.650769,7.409131,7.512736,6.868016,5.750243
"10403193",6.981996,6.866824,6.994787,6.710176,6.89902,6.547611,6.477059,7.255645,7.739101,7.580048,7.659119,7.327048,7.307602
"10403202",11.05113,8.433197,8.97362,5.382453,9.275459,5.618428,5.418445,5.308823,5.394107,9.505464,5.532497,7.982946,5.290664
