"probe_id","mgi_symbol","GSM5429757","GSM5429758","GSM5429759","GSM5429760","GSM5429761","GSM5429762","GSM5429763","GSM5429764","GSM5429765","GSM5429766","GSM5429767","GSM5429768"
"10373645","Or6c215",3.875009,4.101542,4.431526,4.590557,3.996523,4.549809,4.361919,4.039968,4.22066,4.217785,4.132071,4.134443
"10373647","Or6c216",4.430907,5.231444,5.703773,5.486162,5.333844,5.37724,5.405932,5.125016,5.160103,5.267828,5.164795,5.132923
"10373653","Or6c217",3.571283,3.517958,3.898536,3.720933,3.583075,3.556451,3.716796,3.466511,3.414671,3.460482,3.455761,3.551686
"10373660","Or6c219",4.144114,4.381925,4.669162,4.765759,4.534594,4.276268,4.32821,4.257845,4.310001,4.167286,4.332289,4.154531
"10373614","Or6c2b",4.869909,4.591576,4.880609,5.058585,5.033281,4.696955,4.600343,4.644763,4.730087,4.718493,4.810642,4.940656
"10367499","Or6c3",4.423835,4.610843,4.675966,4.848346,4.523218,4.81915,4.338975,4.358648,4.269235,4.270025,4.427062,4.516496
"10367526","Or6c33",3.622851,3.787449,4.291184,4.111032,4.047639,3.867427,3.870921,3.831805,3.855886,3.863627,3.727618,4.148659
"10367487","Or6c35",3.621122,3.625357,3.947545,3.72089,3.826407,3.62383,3.8,3.545717,3.728895,3.684015,3.701864,3.45183
"10373612","Or6c38",3.680099,3.584096,3.675955,3.739666,3.694508,3.73963,3.79628,3.562667,3.682075,3.514381,3.588419,3.6477
"10373634","Or6c3b",3.813234,3.56563,4.253033,4.71842,3.768107,4.064617,3.756756,3.523313,3.724825,3.775201,3.878909,3.636481
"10367477","Or6c5",4.270776,4.370442,5.117465,5.096065,4.581262,4.473826,4.532474,4.356365,4.51228,4.532566,4.588942,4.397017
"10367493","Or6c5b",4.970428,5.376357,6.321631,6.56476,5.088201,5.882647,5.41224,4.848405,5.184039,5.1793,5.31776,5.317772
"10367497","Or6c5c",3.815707,3.982394,4.494275,4.474956,3.983686,3.984329,4.270156,3.858072,3.835638,3.894298,3.616981,4.080441
"10367489","Or6c6",4.210152,4.457652,4.522044,4.73389,4.661406,4.378246,4.506938,4.109383,4.224698,4.103453,4.37305,4.352727
"10367519","Or6c65",4.61141,4.825758,4.690012,5.073536,4.832884,4.900211,4.656292,4.629622,4.545388,4.71589,4.498721,4.568694
"10373628","Or6c66",3.586567,3.548781,3.545299,3.453087,3.577571,3.312898,3.543086,3.363501,3.348994,3.541401,3.421044,3.570378
"10367507","Or6c66b",3.916734,3.982394,4.159863,4.094982,4.025767,4.107325,3.970889,4.022267,3.947937,3.76643,4.052021,4.009282
"10367485","Or6c68",3.885703,4.485373,4.519497,4.335576,4.285383,4.485122,4.391956,4.078356,4.223913,4.067833,4.044577,4.132814
"10373655","Or6c69",3.64637,3.891215,3.860446,4.06521,3.740168,3.959774,3.660674,3.702661,3.740129,3.794188,3.65319,3.830753
"10373642","Or6c69b",4.717587,4.813913,4.919169,5.228952,4.870372,4.897539,5.015267,4.892149,4.728834,4.693007,4.670783,4.75983
"10367530","Or6c69c",3.756663,3.775547,3.788855,3.727268,3.89918,3.628424,3.751201,3.682121,3.692147,3.599817,3.627403,3.545679
"10367483","Or6c6c",4.210152,4.457652,4.522044,4.73389,4.661406,4.378246,4.506938,4.109383,4.224698,4.103453,4.37305,4.352727
"10367501","Or6c7",4.15181,4.193408,4.495695,4.283543,4.214771,4.003662,4.303661,4.293206,4.260147,4.221051,4.225464,4.288989
"10373649","Or6c70",3.327781,3.635704,3.874556,3.542939,3.724296,3.917338,3.982182,3.407338,3.407229,3.347628,3.448843,3.490115
"10367528","Or6c74",4.183564,4.465449,5.067399,4.934582,4.841715,5.129633,4.586642,4.540628,4.512165,4.506611,4.581752,4.601221
"10367503","Or6c75",4.253998,4.537082,4.79221,4.783471,4.395205,4.745192,4.578694,4.324524,4.474479,4.453815,4.285103,4.625499
"10367521","Or6c76",3.74184,3.813674,4.036165,4.276841,3.961545,4.046467,3.791206,3.721732,3.864354,3.681811,4.054117,3.753469
"10367524","Or6c76b",4.085446,4.131605,4.401236,4.552607,4.272875,4.334179,4.063334,4.164125,4.035905,4.218502,4.037104,4.118077
"10373610","Or6c8",8.682705,8.841157,8.421324,8.743893,8.335415,8.574833,7.88265,7.700067,8.734488,8.329826,8.386415,8.596453
"10367509","Or6c88",3.991879,4.249469,4.377933,4.352628,4.20044,4.315892,4.27854,3.644578,4.159413,4.140199,4.132658,4.077349
"10373606","Or6c8b",5.848731,5.399745,5.751709,5.308695,5.354116,5.374495,5.152594,5.14767,5.41577,5.428198,5.258033,5.303386
"10541063","Or6d12",4.939045,5.146962,5.011676,5.542496,4.94484,4.981316,4.920856,4.972912,4.637587,4.793485,4.797659,4.960224
"10541065","Or6d13",4.66752,5.437262,5.499016,5.862638,5.267102,5.234766,5.127194,4.921186,5.039411,5.121494,4.870949,5.048917
"10541069","Or6d14",5.189969,5.376113,5.783335,5.846494,5.485744,5.512359,5.833203,5.202785,5.432573,5.638608,5.412533,5.319386
"10547171","Or6d15",5.215326,5.415305,5.422632,6.233994,5.628726,5.717,5.32812,5.217816,5.352418,5.416095,5.589191,5.389411
"10419742","Or6e1",4.116708,4.324284,4.647985,4.649536,4.434458,4.303842,4.226694,4.083522,4.457294,4.560702,4.262823,4.150302
"10565385","Or6f1",4.214899,4.088813,4.352736,4.262222,4.296786,4.431495,4.290599,4.346219,4.010446,4.077582,4.199404,4.202691
"10558612","Or6f2",5.881538,5.952205,6.141876,6.211777,5.801373,5.828977,5.811422,5.581571,6.205201,6.119544,5.843628,5.677071
"10351893","Or6k14",3.961711,4.145276,4.492004,4.793679,4.552249,4.741236,4.42894,4.117613,3.982864,4.379929,4.348125,4.285282
"10351903","Or6k2",5.011417,4.879632,5.575325,5.934922,5.081625,5.421556,5.148314,5.008254,5.059321,5.136655,5.097025,4.95717
"10351895","Or6k4",5.215462,5.288457,5.949144,5.914901,5.420892,5.531315,5.585859,4.922886,5.391987,5.29052,5.484244,5.366996
"10360410","Or6k6",5.629483,5.64336,5.902608,6.145822,5.778881,5.558012,5.698394,5.379372,5.918952,5.458693,5.392127,5.672549
"10351899","Or6k8",3.999852,4.506341,4.481654,4.964549,4.331841,4.586113,4.138104,4.231118,4.19403,4.33627,4.450005,4.394416
"10351891","Or6n1",4.947877,5.086039,5.010149,5.413367,5.041519,5.10603,5.173001,4.892975,5.066368,5.006492,4.701276,4.990701
"10351888","Or6n2",4.710866,4.571311,4.867843,5.129731,4.832319,5.215013,4.663577,4.534985,4.759844,4.760642,4.850655,4.674639
"10351966","Or6p1",5.912127,6.459608,6.252189,6.230057,6.47843,6.290011,6.215857,6.12404,6.236577,6.133462,6.197479,6.153436
